sample-id	treatment_II_B	treatment_B	time_Initial_Final	time_0_1_2	donor	unique
BlankA	Blank	Blank	Final	1	A	BlankA
BlankB	Blank	Blank	Final	1	B	BlankB
BlankC	Blank	Blank	Final	1	C	BlankC
BlankD	Blank	Blank	Final	1	D	BlankD
BlankE	Blank	Blank	Final	1	E	BlankE
BlankF	Blank	Blank	Final	1	F	BlankF
BlankG	Blank	Blank	Final	1	G	BlankG
BlankH	Blank	Blank	Final	1	H	BlankH
BlankI	Blank	Blank	Final	1	I	BlankI
BlankJ	Blank	Blank	Final	1	J	BlankJ
FOSA	FOS	FOS	Final	2	A	FOSA
FOSB	FOS	FOS	Final	2	B	FOSB
FOSC	FOS	FOS	Final	2	C	FOSC
FOSD	FOS	FOS	Final	2	D	FOSD
FOSE	FOS	FOS	Final	2	E	FOSE
FOSF	FOS	FOS	Final	2	F	FOSF
FOSG	FOS	FOS	Final	2	G	FOSG
FOSH	FOS	FOS	Final	2	H	FOSH
FOSI	FOS	FOS	Final	2	I	FOSI
FOSJ	FOS	FOS	Final	2	J	FOSJ
GlucanA	Glucan	Glucan	Final	2	A	GlucanA
GlucanB	Glucan	Glucan	Final	2	B	GlucanB
GlucanC	Glucan	Glucan	Final	2	C	GlucanC
GlucanD	Glucan	Glucan	Final	2	D	GlucanD
GlucanE	Glucan	Glucan	Final	2	E	GlucanE
GlucanF	Glucan	Glucan	Final	2	F	GlucanF
GlucanG	Glucan	Glucan	Final	2	G	GlucanG
GlucanH	Glucan	Glucan	Final	2	H	GlucanH
GlucanI	Glucan	Glucan	Final	2	I	GlucanI
GlucanJ	Glucan	Glucan	Final	2	J	GlucanJ
IIA	II	Blank	Initial	0	A	IIA
IIB	II	Blank	Initial	2	B	IIB
IIC	II	Blank	Initial	0	C	IIC
IID	II	Blank	Initial	0	D	IID
IIE	II	Blank	Initial	0	E	IIE
IIF	II	Blank	Initial	0	F	IIF
IIG	II	Blank	Initial	0	G	IIG
IIH	II	Blank	Initial	0	H	IIH
III	II	Blank	Initial	0	I	III
IIJ	II	Blank	Initial	0	J	IIJ
PectinA	Pectin	Pectin	Final	2	A	PectinA
PectinB	Pectin	Pectin	Final	2	B	PectinB
PectinC	Pectin	Pectin	Final	2	C	PectinC
PectinD	Pectin	Pectin	Final	2	D	PectinD
PectinE	Pectin	Pectin	Final	2	E	PectinE
PectinF	Pectin	Pectin	Final	2	F	PectinF
PectinG	Pectin	Pectin	Final	2	G	PectinG
PectinH	Pectin	Pectin	Final	2	H	PectinH
PectinI	Pectin	Pectin	Final	2	I	PectinI
PectinJ	Pectin	Pectin	Final	2	J	PectinJ
RSA	RS	RS	Final	2	A	RSA
RSB	RS	RS	Final	2	B	RSB
RSC	RS	RS	Final	2	C	RSC
RSD	RS	RS	Final	2	D	RSD
RSE	RS	RS	Final	2	E	RSE
RSF	RS	RS	Final	2	F	RSF
RSG	RS	RS	Final	2	G	RSG
RSH	RS	RS	Final	2	H	RSH
RSI	RS	RS	Final	2	I	RSI
RSJ	RS	RS	Final	2	J	RSJ
