sample-id	treatment_II_B	time_Initial_Final	time_0_1_2	donor	unique
Enosh295-B1D10	Blank	Final	1	G	BlankG
Enosh313-B1D11	Blank	Final	1	H	BlankH
Enosh331-B1D12	Blank	Final	1	I	BlankI
Enosh349-B1D13	Blank	Final	1	J	BlankJ
Enosh187-B1D4	Blank	Final	1	A	BlankA
Enosh202-B1D5	Blank	Final	1	B	BlankB
Enosh223-B1D6	Blank	Final	1	C	BlankC
Enosh241-B1D7	Blank	Final	1	D	BlankD
Enosh259-B1D8	Blank	Final	1	E	BlankE
Enosh277-B1D9	Blank	Final	1	F	BlankF
Enosh296-B2D10	Blank	Final	1	G	BlankG
Enosh314-B2D11	Blank	Final	1	H	BlankH
Enosh332-B2D12	Blank	Final	1	I	BlankI
Enosh350-B2D13	Blank	Final	1	J	BlankJ
Enosh188-B2D4	Blank	Final	1	A	BlankA
Enosh224-B2D6	Blank	Final	1	C	BlankC
Enosh242-B2D7	Blank	Final	1	D	BlankD
Enosh260-B2D8	Blank	Final	1	E	BlankE
Enosh278-B2D9	Blank	Final	1	F	BlankF
Enosh297-B3D10	Blank	Final	1	G	BlankG
Enosh315-B3D11	Blank	Final	1	H	BlankH
Enosh333-B3D12	Blank	Final	1	I	BlankI
Enosh351-B3D13	Blank	Final	1	J	BlankJ
Enosh189-B3D4	Blank	Final	1	A	BlankA
Enosh219-B3D5	Blank	Final	2	B	BlankB
Enosh225-B3D6	Blank	Final	1	C	BlankC
Enosh243-B3D7	Blank	Final	1	D	BlankD
Enosh261-B3D8	Blank	Final	1	E	BlankE
Enosh279-B3D9	Blank	Final	1	F	BlankF
Enosh298-F1D10	FOS	Final	2	G	FOSG
Enosh316-F1D11	FOS	Final	2	H	FOSH
Enosh334-F1D12	FOS	Final	2	I	FOSI
Enosh352-F1D13	FOS	Final	2	J	FOSJ
Enosh190-F1D4	FOS	Final	2	A	FOSA
Enosh208-F1D5	FOS	Final	2	B	FOSB
Enosh226-F1D6	FOS	Final	2	C	FOSC
Enosh244-F1D7	FOS	Final	2	D	FOSD
Enosh262-F1D8	FOS	Final	2	E	FOSE
Enosh280-F1D9	FOS	Final	2	F	FOSF
Enosh299-F2D10	FOS	Final	2	G	FOSG
Enosh317-F2D11	FOS	Final	2	H	FOSH
Enosh335-F2D12	FOS	Final	2	I	FOSI
Enosh353-F2D13	FOS	Final	2	J	FOSJ
Enosh191-F2D4	FOS	Final	2	A	FOSA
Enosh209-F2D5	FOS	Final	2	B	FOSB
Enosh227-F2D6	FOS	Final	2	C	FOSC
Enosh245-F2D7	FOS	Final	2	D	FOSD
Enosh263-F2D8	FOS	Final	2	E	FOSE
Enosh281-F2D9	FOS	Final	2	F	FOSF
Enosh300-F3D10	FOS	Final	2	G	FOSG
Enosh318-F3D11	FOS	Final	2	H	FOSH
Enosh336-F3D12	FOS	Final	2	I	FOSI
Enosh354-F3D13	FOS	Final	2	J	FOSJ
Enosh192-F3D4	FOS	Final	2	A	FOSA
Enosh210-F3D5	FOS	Final	2	B	FOSB
Enosh228-F3D6	FOS	Final	2	C	FOSC
Enosh246-F3D7	FOS	Final	2	D	FOSD
Enosh264-F3D8	FOS	Final	2	E	FOSE
Enosh282-F3D9	FOS	Final	2	F	FOSF
Enosh307-G1D10	Glucan	Final	2	G	GlucanG
Enosh325-G1D11	Glucan	Final	2	H	GlucanH
Enosh343-G1D12	Glucan	Final	2	I	GlucanI
Enosh361-G1D13	Glucan	Final	2	J	GlucanJ
Enosh199-G1D4	Glucan	Final	2	A	GlucanA
Enosh217-G1D5	Glucan	Final	2	B	GlucanB
Enosh235-G1D6	Glucan	Final	2	C	GlucanC
Enosh253-G1D7	Glucan	Final	2	D	GlucanD
Enosh271-G1D8	Glucan	Final	2	E	GlucanE
Enosh289-G1D9	Glucan	Final	2	F	GlucanF
Enosh308-G2D10	Glucan	Final	2	G	GlucanG
Enosh326-G2D11	Glucan	Final	2	H	GlucanH
Enosh344-G2D12	Glucan	Final	2	I	GlucanI
Enosh362-G2D13	Glucan	Final	2	J	GlucanJ
Enosh200-G2D4	Glucan	Final	2	A	GlucanA
Enosh218-G2D5	Glucan	Final	2	B	GlucanB
Enosh236-G2D6	Glucan	Final	2	C	GlucanC
Enosh254-G2D7	Glucan	Final	2	D	GlucanD
Enosh272-G2D8	Glucan	Final	2	E	GlucanE
Enosh290-G2D9	Glucan	Final	2	F	GlucanF
Enosh309-G3D10	Glucan	Final	2	G	GlucanG
Enosh327-G3D11	Glucan	Final	2	H	GlucanH
Enosh345-G3D12	Glucan	Final	2	I	GlucanI
Enosh363-G3D13	Glucan	Final	2	J	GlucanJ
Enosh201-G3D4	Glucan	Final	2	A	GlucanA
Enosh237-G3D6	Glucan	Final	2	C	GlucanC
Enosh255-G3D7	Glucan	Final	2	D	GlucanD
Enosh273-G3D8	Glucan	Final	2	E	GlucanE
Enosh291-G3D9	Glucan	Final	2	F	GlucanF
Enosh292-I1D10	II	Initial	0	G	IIG
Enosh310-I1D11	II	Initial	0	H	IIH
Enosh328-I1D12	II	Initial	0	I	III
Enosh346-I1D13	II	Initial	0	J	IIJ
Enosh184-I1D4	II	Initial	0	A	IIA
Enosh205-I1D5	II	Initial	0	B	IIB
Enosh220-I1D6	II	Initial	0	C	IIC
Enosh238-I1D7	II	Initial	0	D	IID
Enosh256-I1D8	II	Initial	0	E	IIE
Enosh274-I1D9	II	Initial	0	F	IIF
Enosh293-I2D10	II	Initial	0	G	IIG
Enosh311-I2D11	II	Initial	0	H	IIH
Enosh329-I2D12	II	Initial	0	I	III
Enosh340-I2D13	II	Initial	0	J	IIJ
Enosh185-I2D4	II	Initial	0	A	IIA
Enosh206-I2D5	II	Initial	0	B	IIB
Enosh221-I2D6	II	Initial	0	C	IIC
Enosh239-I2D7	II	Initial	0	D	IID
Enosh257-I2D8	II	Initial	0	E	IIE
Enosh267-I2D9	II	Initial	0	F	IIF
Enosh294-I3D10	II	Initial	0	G	IIG
Enosh312-I3D11	II	Initial	0	H	IIH
Enosh330-I3D12	II	Initial	0	I	III
Enosh348-I3D13	II	Initial	0	J	IIJ
Enosh204-I3D4	II	Initial	0	A	IIA
Enosh207-I3D5	II	Initial	0	B	IIB
